mesh,framework,method,omp_threads,status,correct_rate_strict,found_rate,wall_seconds,throughput_Mqps,max_rss_mb,mean_pit_tests,fill_ratio,n_octree_cells,box_pad,bvh_ms,sim_ms,n_out_of_domain
FSW_paper,MALMO,aabb,1,OK,1.0,1.0,1.6002985280938447,0.06248834092168571,2772.3125,115.5103,1.0000000268230371,620760,,,,
FSW_paper,MALMO,centroid,1,OK,1.0,1.0,2.4260425788816065,0.04121939197213081,2538.27734375,78.84831,1.0000000268230371,518858,,,,
FSW_paper,MALMO,vertex_multi,1,OK,1.0,1.0,6.3657871200703084,0.015708976457085095,3228.609375,124.34495,1.0000000268230371,665889,,,,
FinalFuelPinPoly1560,MALMO,aabb,1,OK,1.0,1.0,0.796978950034827,0.12547382838107596,1199.7890625,190.08038,1.0000000123129595,1543,,,,
FinalFuelPinPoly1560,MALMO,centroid,1,OK,1.0,1.0,1.6254228360485286,0.06152245297789972,1201.6640625,360.12274,1.0000000123129595,1554,,,,
FinalFuelPinPoly1560,MALMO,vertex_multi,1,OK,1.0,1.0,1.2734043090604246,0.0785296541628515,1204.41796875,211.45068,1.0000000123129595,1256,,,,
FinalFuelPinPoly264,MALMO,aabb,1,OK,1.0,1.0,0.2805321980267763,0.3564653209271015,1196.328125,276.57062,1.0000000422449948,256,,,,
FinalFuelPinPoly264,MALMO,centroid,1,OK,1.0,1.0,0.35891666100360453,0.2786162105720573,1195.28125,280.62237,1.0000000422449948,256,,,,
FinalFuelPinPoly264,MALMO,vertex_multi,1,OK,1.0,1.0,0.19150516018271446,0.5221791407844588,1195.19921875,174.72046,1.0000000422449948,256,,,,
FinalFuelPinPoly940,MALMO,aabb,1,OK,0.99999,1.0,1.4549069670028985,0.0687329171335261,1198.35546875,233.53449,1.0000000049700024,1176,,,,
FinalFuelPinPoly940,MALMO,centroid,1,OK,0.99639,0.9964,1.6951851800549775,0.05899060537843827,1198.62890625,247.59558,1.0000000049700024,1176,,,,
FinalFuelPinPoly940,MALMO,vertex_multi,1,OK,0.99999,1.0,1.3619606329593807,0.0734235612836413,1199.66796875,141.76487,1.0000000049700024,1027,,,,
FinalFuelPinTet137,MALMO,aabb,1,OK,0.99999,1.0,0.4307301500812173,0.23216391975612638,1196.671875,96.41727,1.0000000255832784,64,,,,
FinalFuelPinTet137,MALMO,centroid,1,OK,0.99999,1.0,0.9835046289954334,0.10167720318931445,1196.5703125,94.10113,1.0000000255832784,64,,,,
FinalFuelPinTet137,MALMO,vertex_multi,1,OK,0.99999,1.0,0.4003877309150994,0.2497579028494372,1196.4296875,42.40634,1.0000000255832784,42,,,,
FinalFuelPinTet1820,MALMO,aabb,1,OK,1.0,1.0,1.613807481015101,0.06196525990640408,1196.203125,122.61922,1.0000000151747919,1475,,,,
FinalFuelPinTet1820,MALMO,centroid,1,OK,0.99986,0.99986,1.4605247480794787,0.06846854196171294,1196.18359375,122.45337,1.0000000151747919,1475,,,,
FinalFuelPinTet1820,MALMO,vertex_multi,1,OK,0.99902,0.99902,1.457626752089709,0.06860466841503575,1193.859375,46.687,1.0000000151747919,492,,,,
FinalFuelPinTet2856,MALMO,aabb,1,OK,0.99999,1.0,1.349673321004957,0.07409200318603076,1201.22265625,82.06231,1.0000000196330268,2591,,,,
FinalFuelPinTet2856,MALMO,centroid,1,OK,0.99998,0.99999,1.4922035459894687,0.06701498617180324,1201.19140625,82.02342,1.0000000196330268,2591,,,,
FinalFuelPinTet2856,MALMO,vertex_multi,1,OK,0.99974,0.99975,1.4090679809451103,0.07096889671208521,1195.2734375,36.38334,1.0000000196330268,747,,,,
FinalFuelPinTet298,MALMO,aabb,1,OK,1.0,1.0,0.7788524718489498,0.12839402019564233,1195.8515625,103.48749,1.0000000176801644,216,,,,
FinalFuelPinTet298,MALMO,centroid,1,OK,1.0,1.0,0.9340062539558858,0.10706566425702234,1194.578125,101.89242,1.0000000176801644,216,,,,
FinalFuelPinTet298,MALMO,vertex_multi,1,OK,1.0,1.0,0.8921441710554063,0.11208950665641856,1195.41796875,47.60783,1.0000000176801644,104,,,,
