Timestamp,CPU%,MemoryMB,GPU%,GPUMemoryMB
2025-10-27 15:18:32,95,13866,0,10
2025-10-27 15:18:35,96,14617,1,73
2025-10-27 15:18:37,94,15109,0,73
2025-10-27 15:18:39,95,15305,0,73
2025-10-27 15:18:41,99,15099,0,73
2025-10-27 15:18:44,100,15230,0,73
2025-10-27 15:18:46,93,15277,0,73
2025-10-27 15:18:48,99,15081,0,73
2025-10-27 15:18:50,99,15356,0,73
2025-10-27 15:18:53,94,15317,0,73
2025-10-27 15:18:55,92,15157,0,73
2025-10-27 15:18:57,99,15288,0,73
2025-10-27 15:19:00,91,15287,0,73
2025-10-27 15:19:02,98,15259,0,75
2025-10-27 15:19:04,100,15225,0,75
2025-10-27 15:19:06,93,15236,0,75
2025-10-27 15:19:09,96,15239,5,79
2025-10-27 15:19:11,91,15191,0,79
2025-10-27 15:19:13,100,15213,0,79
2025-10-27 15:19:15,98,15171,0,79
2025-10-27 15:19:18,92,15117,4,79
2025-10-27 15:19:20,92,15153,0,79
2025-10-27 15:19:22,93,15134,0,79
2025-10-27 15:19:25,95,15107,10,79
2025-10-27 15:19:27,93,15072,0,79
2025-10-27 15:19:29,93,15073,0,79
2025-10-27 15:19:31,96,15058,5,79
2025-10-27 15:19:34,94,15111,0,79
2025-10-27 15:19:36,97,15077,0,79
2025-10-27 15:19:38,99,15046,0,79
2025-10-27 15:19:40,95,14916,2,79
2025-10-27 15:19:43,96,15170,0,79
2025-10-27 15:19:45,99,15234,0,79
2025-10-27 15:19:47,94,15221,4,79
2025-10-27 15:19:50,95,15204,0,79
2025-10-27 15:19:52,100,15201,0,79
2025-10-27 15:19:54,95,15216,0,79
2025-10-27 15:19:56,95,15057,0,79
2025-10-27 15:19:59,97,15059,0,79
2025-10-27 15:20:01,99,15088,0,79
2025-10-27 15:20:03,95,15015,11,79
2025-10-27 15:20:05,92,15073,0,79
2025-10-27 15:20:08,92,15177,0,79
2025-10-27 15:20:10,99,15169,6,79
2025-10-27 15:20:12,99,15125,0,79
2025-10-27 15:20:15,98,15132,0,79
2025-10-27 15:20:17,99,15075,1,79
2025-10-27 15:20:19,100,15062,2,79
2025-10-27 15:20:21,92,15038,0,79
2025-10-27 15:20:24,98,15038,0,79
2025-10-27 15:20:26,92,15040,8,79
2025-10-27 15:20:28,97,15051,0,79
2025-10-27 15:20:30,95,15074,0,79
2025-10-27 15:20:33,99,15032,8,79
2025-10-27 15:20:35,91,15112,0,79
2025-10-27 15:20:37,99,15118,0,79
2025-10-27 15:20:40,99,15059,0,79
2025-10-27 15:20:42,98,15012,3,79
2025-10-27 15:20:44,94,15096,0,79
2025-10-27 15:20:46,91,15082,0,79
2025-10-27 15:20:49,97,15064,9,79
2025-10-27 15:20:51,94,15062,0,79
2025-10-27 15:20:53,94,15082,0,79
2025-10-27 15:20:55,94,15129,0,79
2025-10-27 15:20:58,100,15081,0,79
2025-10-27 15:21:00,91,15039,0,79
2025-10-27 15:21:02,95,15073,0,79
2025-10-27 15:21:04,96,14999,10,79
2025-10-27 15:21:07,100,15042,0,79
2025-10-27 15:21:09,95,15079,0,79
2025-10-27 15:21:11,93,15147,5,79
2025-10-27 15:21:14,91,15122,0,79
2025-10-27 15:21:16,91,15198,0,79
2025-10-27 15:21:18,93,15085,0,79
2025-10-27 15:21:20,100,15054,2,79
2025-10-27 15:21:23,94,15132,0,79
2025-10-27 15:21:25,96,15198,0,79
2025-10-27 15:21:27,98,15055,7,79
2025-10-27 15:21:29,99,15208,0,79
2025-10-27 15:21:32,93,15224,0,79
2025-10-27 15:21:34,93,15241,11,79
2025-10-27 15:21:36,99,15284,0,79
2025-10-27 15:21:39,94,15269,0,79
2025-10-27 15:21:41,97,15232,5,79
2025-10-27 15:21:43,100,15230,0,79
2025-10-27 15:21:45,99,15215,0,79
2025-10-27 15:21:48,98,15299,0,79
2025-10-27 15:21:50,96,15221,2,79
2025-10-27 15:21:52,91,15251,0,79
2025-10-27 15:21:54,93,15248,0,79
2025-10-27 15:21:57,91,15208,7,79
2025-10-27 15:21:59,99,15215,0,79
2025-10-27 15:22:01,96,15306,0,79
2025-10-27 15:22:04,91,15218,1,79
2025-10-27 15:22:06,97,15159,1,79
2025-10-27 15:22:08,100,15198,0,79
2025-10-27 15:22:10,93,15217,0,79
2025-10-27 15:22:13,95,15128,6,79
2025-10-27 15:22:15,99,15224,0,79
2025-10-27 15:22:17,93,15308,0,79
