Timestamp_sec,CPU%,MemMB,Mem%,GPU%,GPU_MemMB,GPU_Mem%
0.0,0.0,835.7,2.6,1.0,73.0,1.8
2.2,99.8,2073.2,6.5,0.0,73.0,1.8
4.3,89.9,2059.4,6.5,0.0,73.0,1.8
6.5,79.9,1922.2,6.0,0.0,73.0,1.8
8.6,109.9,2160.0,6.8,0.0,73.0,1.8
10.7,109.8,2189.4,6.9,0.0,73.0,1.8
12.9,99.9,2053.3,6.5,0.0,73.0,1.8
15.0,99.8,2130.6,6.7,0.0,73.0,1.8
17.2,99.8,2224.1,7.0,0.0,73.0,1.8
19.3,89.8,2306.5,7.3,0.0,73.0,1.8
21.5,99.8,1991.6,6.3,0.0,73.0,1.8
23.7,104.5,1991.6,6.3,0.0,73.0,1.8
26.0,89.8,1992.5,6.3,0.0,73.0,1.8
28.1,99.8,2061.8,6.5,0.0,75.0,1.8
30.3,92.0,2061.8,6.5,0.0,75.0,1.8
32.7,99.8,2061.8,6.5,0.0,77.0,1.9
34.8,99.9,2208.8,6.9,11.0,79.0,1.9
37.0,99.9,2208.8,6.9,0.0,79.0,1.9
39.1,99.4,2239.5,7.0,0.0,79.0,1.9
41.4,219.8,2255.6,7.1,7.0,79.0,1.9
43.5,99.8,2255.6,7.1,0.0,79.0,1.9
45.7,107.7,2255.6,7.1,0.0,79.0,1.9
48.0,199.8,2209.1,7.0,4.0,79.0,1.9
50.1,89.8,2209.1,7.0,0.0,79.0,1.9
52.3,104.4,2209.1,7.0,0.0,79.0,1.9
54.6,95.3,2255.6,7.1,0.0,79.0,1.9
56.8,89.8,2255.6,7.1,12.0,79.0,1.9
58.9,89.8,2255.6,7.1,0.0,79.0,1.9
61.1,104.5,2255.6,7.1,0.0,79.0,1.9
63.3,199.8,2209.1,7.0,8.0,79.0,1.9
65.5,89.8,2209.1,7.0,0.0,79.0,1.9
67.6,104.4,2221.6,7.0,0.0,79.0,1.9
69.9,159.6,2255.4,7.1,0.0,79.0,1.9
72.0,109.8,2255.4,7.1,0.0,79.0,1.9
74.2,89.9,2255.4,7.1,0.0,79.0,1.9
76.3,104.4,2255.4,7.1,0.0,79.0,1.9
78.6,99.8,2209.0,7.0,11.0,79.0,1.9
80.8,109.9,2209.0,7.0,0.0,79.0,1.9
